,searched,tconst,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views,Simple_Title,net_year,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
101,Spellbound,tt7215232,Spellbound,Yes,2024-11-22,32000000,1:50,17500000,Spellbound,2024.0,movie,Spellbound,Spellbound,2024,109,"Adventure,Animation,Comedy"
102,Trap,tt26753003,Trap (2024),No,,30700000,1:45,17500000,Trap,2024.0,movie,Trap,Trap,2024,105,"Crime,Horror,Mystery"
104,The Dad Quest,tt36150950,The Dad Quest // Lo mejor del mundo,Yes,2025-04-09,24200000,1:24,17300000,The Dad Quest,2025.0,movie,The Dad Quest,Lo mejor del mundo,2025,83,"Comedy,Drama"
105,Wallace & Gromit: Vengeance Most Fowl,tt17163970,Wallace & Gromit: Vengeance Most Fowl,Yes,2025-01-03,23700000,1:22,17300000,Wallace & Gromit: Vengeance Most Fowl,2025.0,movie,Wallace & Gromit: Vengeance Most Fowl,Wallace & Gromit: Vengeance Most Fowl,2024,82,"Adventure,Animation,Comedy"
108,Transformers: Rise of the Beasts,tt5090568,Transformers: Rise of the Beasts,No,,36400000,2:07,17200000,Transformers: Rise of the Beasts,1000.0,movie,Transformers: Rise of the Beasts,Transformers: Rise of the Beasts,2023,127,"Action,Adventure,Sci-Fi"
109,Unexplainable,tt33050529,Unexplainable // Inexplicvel,No,2025-04-16,32900000,1:55,17200000,Unexplainable,2025.0,movie,Unexplainable,Inexplicável,2024,116,"Biography,Drama"
106,Rise of the Guardians,tt1446192,Rise of the Guardians,No,,28700000,1:40,17200000,Rise of the Guardians,1000.0,movie,Rise of the Guardians,Rise of the Guardians,2012,97,"Action,Adventure,Animation"
107,To All the Boys IÕve Loved Before,tt3846674,To All the Boys IÕve Loved Before,Yes,2018-08-17,28700000,1:40,17200000,To All the Boys IÕve Loved Before,2018.0,movie,To All the Boys I've Loved Before,To All the Boys I've Loved Before,2018,99,"Comedy,Drama,Romance"
111,Pushpa 2: The Rule (Reloaded Version),tt16539454,Pushpa 2: The Rule (Reloaded Version),No,,63700000,3:44,17100000,Pushpa 2: The Rule (Reloaded Version),1000.0,movie,Pushpa: The Rule - Part 2,Pushpa: The Rule - Part 2,2024,201,"Action,Crime,Drama"
110,Cloudy with a Chance of Meatballs 2,tt1985966,Cloudy with a Chance of Meatballs 2,No,,27000000,1:35,17100000,Cloudy with a Chance of Meatballs 2,1000.0,movie,Cloudy with a Chance of Meatballs 2,Cloudy with a Chance of Meatballs 2,2013,95,"Adventure,Animation,Comedy"
112,Lift,tt14371878,Lift,Yes,2024-01-12,30300000,1:47,17000000,Lift,2024.0,movie,Lift,Lift,2024,107,"Action,Comedy,Crime"
113,The Love Scam,tt34896285,The Love Scam // Mica  Colpa Mia,Yes,2025-01-01,28600000,1:41,17000000,The Love Scam,2025.0,movie,The Love Scam,Mica è colpa mia,2025,101,"Comedy,Romance"
114,The Wild Robot,tt29623480,The Wild Robot,No,,28800000,1:42,16900000,The Wild Robot,1000.0,movie,The Wild Robot,The Wild Robot,2024,102,"Adventure,Animation,Family"
115,Home,tt2224026,Home (2015),No,,26200000,1:34,16700000,Home,2015.0,movie,Home,Home,2015,94,"Adventure,Animation,Comedy"
116,Trainwreck: The Astroworld Tragedy,tt36856278,Trainwreck: The Astroworld Tragedy,Yes,2025-06-10,22500000,1:21,16700000,Trainwreck: The Astroworld Tragedy,2025.0,movie,Trainwreck: The Astroworld Tragedy,Trainwreck: The Astroworld Tragedy,2025,80,Documentary
117,Instant Family,tt7401588,Instant Family,No,,33000000,1:59,16600000,Instant Family,1000.0,movie,Instant Family,Instant Family,2018,118,"Comedy,Drama"
118,Lucy,tt2872732,Lucy (2014),No,,24500000,1:29,16500000,Lucy,2014.0,movie,Lucy,Lucy,2014,89,"Action,Sci-Fi,Thriller"
119,Smurfs: The Lost Village,tt2398241,Smurfs: The Lost Village,No,,24600000,1:30,16400000,Smurfs: The Lost Village,1000.0,movie,Smurfs: The Lost Village,Smurfs: The Lost Village,2017,90,"Adventure,Animation,Comedy"
120,The Sentinel,tt0443632,The Sentinel (2006),No,,29300000,1:48,16300000,The Sentinel,2006.0,movie,The Sentinel,The Sentinel,2006,108,"Action,Crime,Thriller"
122,The Sea Beast,tt9288046,The Sea Beast,Yes,2022-07-08,32200000,1:59,16200000,The Sea Beast,2022.0,movie,The Sea Beast,The Sea Beast,2022,115,"Action,Adventure,Animation"
121,Don't Move,tt24807110,Don't Move,No,2024-10-25,24800000,1:32,16200000,Don't Move,2024.0,movie,Don't Move,Don't Move,2024,92,"Horror,Thriller"
123,Jumanji: The Next Level,tt7975244,Jumanji: The Next Level,No,,33100000,2:03,16100000,Jumanji: The Next Level,1000.0,movie,Jumanji: The Next Level,Jumanji: The Next Level,2019,123,"Action,Adventure,Comedy"
125,To Catch a Killer,tt10275534,To Catch a Killer (2023),No,,31900000,1:59,16100000,To Catch a Killer,2023.0,movie,To Catch a Killer,To Catch a Killer,2023,119,"Action,Crime,Drama"
124,One of Them Days,tt32221196,One of Them Days,No,,26100000,1:37,16100000,One of Them Days,1000.0,movie,One of Them Days,One of Them Days,2025,97,Comedy
126,The Gray Man,tt1649418,The Gray Man,Yes,2022-07-22,34400000,2:09,16000000,The Gray Man,2022.0,movie,The Gray Man,The Gray Man,2022,122,"Action,Mystery,Thriller"
127,Land of Bad,tt19864802,Land of Bad,No,,30300000,1:54,15900000,Land of Bad,1000.0,movie,Land of Bad,Land of Bad,2024,113,"Action,Thriller"
128,Woody Woodpecker,tt2114504,Woody Woodpecker (2017),No,,24000000,1:31,15800000,Woody Woodpecker,2017.0,movie,Woody Woodpecker,Woody Woodpecker,2017,91,"Adventure,Animation,Comedy"
129,Meet the Khumalos,tt36242582,Meet the Khumalos,Yes,2025-04-11,24400000,1:33,15700000,Meet the Khumalos,2025.0,movie,Meet the Khumalos,Meet the Khumalos,2025,92,"Comedy,Drama"
130,Minions & More Volume 1,tt22184976,Minions & More Volume 1,Yes,,12800000,0:49,15700000,Minions & More Volume 1,1000.0,movie,Minions & More 1,Minions & More 1,2022,48,"Adventure,Animation,Comedy"
131,Love Forever,tt30308957,Love Forever // Krlek frever,Yes,2025-02-14,24900000,1:36,15600000,Love Forever,2025.0,movie,Love Forever,Kärlek fårever,2025,96,"Comedy,Romance"
134,The Equalizer,tt0455944,The Equalizer (2014),No,,34000000,2:12,15500000,The Equalizer,2014.0,movie,The Equalizer,The Equalizer,2014,132,"Action,Crime,Thriller"
133,Knight and Day,tt1013743,Knight and Day,No,,28100000,1:49,15500000,Knight and Day,1000.0,movie,Knight and Day,Knight and Day,2010,109,"Action,Adventure,Comedy"
132,A Copenhagen Love Story,tt33501878,A Copenhagen Love Story // Sult,Yes,2025-02-26,27200000,1:45,15500000,A Copenhagen Love Story,2025.0,movie,A Copenhagen Love Story,Sult,2025,105,"Drama,Romance"
136,Wish Dragon,tt5562070,Wish Dragon,Yes,2021-06-11,26500000,1:43,15400000,Wish Dragon,2021.0,movie,Wish Dragon,Wish Dragon,2021,98,"Adventure,Animation,Comedy"
135,Minions & More Volume 2,tt23382644,Minions & More Volume 2,Yes,,13600000,0:53,15400000,Minions & More Volume 2,1000.0,movie,Minions & More 2,Minions & More 2,2022,50,"Adventure,Animation,Comedy"
140,The Mitchells vs. The Machines,tt7979580,The Mitchells vs. The Machines,Yes,2021-04-30,28700000,1:54,15100000,The Mitchells vs. The Machines,2021.0,movie,The Mitchells vs. the Machines,The Mitchells vs the Machines,2021,114,"Adventure,Animation,Comedy"
138,Eye for an Eye,tt0116260,Eye for an Eye (1996),No,,25700000,1:42,15100000,Eye for an Eye,1996.0,movie,Eye for an Eye,Eye for an Eye,1996,101,"Crime,Drama,Thriller"
139,The Garfield Movie,tt5779228,The Garfield Movie,No,,25500000,1:41,15100000,The Garfield Movie,1000.0,movie,The Garfield Movie,The Garfield Movie,2024,101,"Adventure,Animation,Comedy"
137,Con Mum,tt35955855,Con Mum,Yes,2025-03-25,22400000,1:29,15100000,Con Mum,2025.0,movie,Con Mum,Con Mum,2025,88,"Crime,Documentary"
141,Spider-Man: No Way Home,tt10872600,Spider-Man: No Way Home,No,,36900000,2:28,15000000,Spider-Man: No Way Home,1000.0,movie,Spider-Man: No Way Home,Spider-Man: No Way Home,2021,148,"Action,Adventure,Fantasy"
142,Matilda,tt0117008,Matilda (1996),No,,24300000,1:38,14900000,Matilda,1996.0,movie,Matilda,Matilda,1996,98,"Comedy,Family,Fantasy"
143,Ted 2,tt2637276,Ted 2,No,,28600000,1:56,14800000,Ted 2,1000.0,movie,Ted 2,Ted 2,2015,115,Comedy
144,Leave the World Behind,tt12747748,Leave the World Behind,Yes,2023-12-08,34600000,2:22,14600000,Leave the World Behind,2023.0,movie,Leave the World Behind,Leave the World Behind,2023,138,"Drama,Mystery,Thriller"
145,The Old Guard,tt7556122,The Old Guard,Yes,2020-07-10,30700000,2:06,14600000,The Old Guard,2020.0,movie,The Old Guard,The Old Guard,2020,125,"Action,Thriller"
147,The Children's Train,tt29242846,The Children's Train // Il treno dei bambini,Yes,2024-12-04,25700000,1:46,14500000,The Children's Train,2024.0,movie,The Children's Train,Il treno dei bambini,2024,106,"Drama,History"
146,No Hard Feelings,tt15671028,No Hard Feelings (2023),No,,25200000,1:44,14500000,No Hard Feelings,2023.0,movie,No Hard Feelings,No Hard Feelings,2023,103,"Comedy,Romance"
150,Spenser Confidential,tt8629748,Spenser Confidential,Yes,2020-03-06,26400000,1:51,14300000,Spenser Confidential,2020.0,movie,Spenser Confidential,Spenser Confidential,2020,111,"Action,Comedy,Crime"
148,Geostorm,tt1981128,Geostorm,No,,26000000,1:49,14300000,Geostorm,1000.0,movie,Geostorm,Geostorm,2017,111,"Action,Sci-Fi,Thriller"
149,Morbius,tt5108870,Morbius,No,,24700000,1:44,14300000,Morbius,1000.0,movie,Morbius,Morbius,2022,104,"Action,Adventure,Horror"
152,Beverly Hills Cop: Axel F,tt3083016,Beverly Hills Cop: Axel F,Yes,2024-07-03,28000000,1:58,14200000,Beverly Hills Cop: Axel F,2024.0,movie,Beverly Hills Cop: Axel F,Beverly Hills Cop: Axel F,2024,118,"Action,Comedy,Crime"
151,A Quiet Place: Day One,tt13433802,A Quiet Place: Day One,No,,23700000,1:40,14200000,A Quiet Place: Day One,1000.0,movie,A Quiet Place: Day One,A Quiet Place: Day One,2024,99,"Drama,Horror,Sci-Fi"
153,Extraction 2,tt12263384,Extraction 2,Yes,2023-06-16,29200000,2:04,14100000,Extraction 2,2023.0,movie,Extraction II,Extraction 2,2023,122,"Action,Crime,Thriller"
154,Just Go With It,tt1564367,Just Go With It,No,,27400000,1:57,14100000,Just Go With It,1000.0,movie,Just Go with It,Just Go with It,2011,117,"Comedy,Romance"
155,Peter Rabbit,tt5117670,Peter Rabbit (2018),No,,22400000,1:35,14100000,Peter Rabbit,2018.0,movie,Peter Rabbit,Peter Rabbit,2018,95,"Adventure,Animation,Comedy"
156,Sicario,tt3397884,Sicario (2015),No,,28200000,2:01,14000000,Sicario,2015.0,movie,Sicario,Sicario,2015,121,"Action,Crime,Drama"
157,Purple Hearts,tt4614584,Purple Hearts,Yes,2022-07-29,29000000,2:05,13900000,Purple Hearts,2022.0,movie,Purple Hearts,Purple Hearts,2022,122,"Drama,Music,Romance"
159,Fifty Shades of Grey,tt2322441,Fifty Shades of Grey,No,,28300000,2:05,13600000,Fifty Shades of Grey,1000.0,movie,Fifty Shades of Grey,Fifty Shades of Grey,2015,125,"Drama,Romance,Thriller"
158,Aquaman and the Lost Kingdom,tt9663764,Aquaman and the Lost Kingdom,No,,28100000,2:04,13600000,Aquaman and the Lost Kingdom,1000.0,movie,Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom,2023,124,"Action,Adventure,Fantasy"
160,Godzilla x Kong: The New Empire,tt14539740,Godzilla x Kong: The New Empire,No,,26000000,1:55,13600000,Godzilla x Kong: The New Empire,1000.0,movie,Godzilla x Kong: The New Empire,Godzilla x Kong: The New Empire,2024,115,"Action,Adventure,Fantasy"
162,Nadaaniyan,tt30422937,Nadaaniyan // _________,Yes,2025-03-07,26900000,2:00,13500000,Nadaaniyan,2025.0,movie,Nadaaniyan,Naadaniyaan,2025,119,"Drama,Romance"
161,A Family Affair,tt21051906,A Family Affair,Yes,2024-06-28,25600000,1:54,13500000,A Family Affair,2024.0,movie,A Family Affair,A Family Affair,2024,111,"Comedy,Drama,Romance"
164,Runaway Jury,tt0313542,Runaway Jury,No,,28300000,2:08,13300000,Runaway Jury,1000.0,movie,Runaway Jury,Runaway Jury,2003,127,"Crime,Drama,Thriller"
166,Ticket to Paradise,tt14109724,Ticket to Paradise (2022),No,,23100000,1:44,13300000,Ticket to Paradise,2022.0,movie,Ticket to Paradise,Ticket to Paradise,2022,104,"Comedy,Drama,Romance"
165,Rush Hour,tt0120812,Rush Hour (1998),No,,21700000,1:38,13300000,Rush Hour,1998.0,movie,Rush Hour,Rush Hour,1998,98,"Action,Comedy,Crime"
163,Mother of the Bride,tt26926267,Mother of the Bride,Yes,2024-05-09,20000000,1:30,13300000,Mother of the Bride,2024.0,movie,Mother of the Bride,Mother of the Bride,2024,88,"Comedy,Drama,Romance"
167,The Most Beautiful Girl in the World,tt34749630,The Most Beautiful Girl in the World,Yes,2025-02-14,27000000,2:03,13200000,The Most Beautiful Girl in the World,2025.0,movie,The Most Beautiful Girl in the World,The Most Beautiful Girl in the World,2025,122,"Comedy,Romance"
168,Karol G: Tomorrow was Beautiful,tt33034822,Karol G: Tomorrow was Beautiful // Karol G: Maana fue muy bonito,Yes,2025-05-08,23600000,1:49,13000000,Karol G: Tomorrow was Beautiful,2025.0,movie,Karol G: Tomorrow was Beautiful,Karol G: Mañana Fue Muy Bonito,2024,\N,Music
170,Ted,tt1637725,Ted (2012),No,,23000000,1:46,13000000,Ted,2012.0,movie,Ted,Ted,2012,106,Comedy
169,Spy Kids: Armageddon,tt13978520,Spy Kids: Armageddon,Yes,2023-09-22,21200000,1:38,13000000,Spy Kids: Armageddon,2023.0,movie,Spy Kids: Armageddon,Spy Kids: Armageddon,2023,97,"Action,Comedy,Family"
171,The Angry Birds Movie 2,tt6095472,The Angry Birds Movie 2,No,,21000000,1:37,13000000,The Angry Birds Movie 2,1000.0,movie,The Angry Birds Movie 2,The Angry Birds Movie 2,2019,97,"Action,Adventure,Animation"
172,Spider-Man: Into the Spider-Verse,tt4633694,Spider-Man: Into the Spider-Verse,No,,25000000,1:57,12800000,Spider-Man: Into the Spider-Verse,1000.0,movie,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,117,"Action,Adventure,Animation"
174,Deva,tt27852049,Deva // ___ __,No,,32700000,2:35,12700000,Deva,1000.0,movie,Deva,Deva,2025,156,"Action,Crime,Drama"
173,365 Days,tt10886166,365 Days (2020),Yes,,24400000,1:55,12700000,365 Days,2020.0,movie,365 Days,365 dni,2020,114,"Drama,Romance"
177,Trial by Fire,tt3263946,Trial by Fire (2018),No,,26700000,2:07,12600000,Trial by Fire,2018.0,movie,Trial by Fire,Trial by Fire,2018,127,"Biography,Drama"
176,The Twilight Saga: Breaking Dawn: Part 2,tt1673434,The Twilight Saga: Breaking Dawn: Part 2,No,,24200000,1:55,12600000,The Twilight Saga: Breaking Dawn: Part 2,1000.0,movie,The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 2,2012,115,"Adventure,Drama,Fantasy"
175,Oklahoma City Bombing: American Terror,tt36351149,Oklahoma City Bombing: American Terror,Yes,2025-04-18,17800000,1:25,12600000,Oklahoma City Bombing: American Terror,2025.0,movie,Oklahoma City Bombing: American Terror,Oklahoma City Bombing: American Terror,2025,82,"Crime,Documentary"
178,Interstellar,tt0816692,Interstellar,No,,34900000,2:49,12400000,Interstellar,1000.0,movie,Interstellar,Interstellar,2014,169,"Adventure,Drama,Sci-Fi"
180,The Twilight Saga: New Moon,tt1259571,The Twilight Saga: New Moon,No,,26900000,2:11,12300000,The Twilight Saga: New Moon,1000.0,movie,The Twilight Saga: New Moon,The Twilight Saga: New Moon,2009,130,"Adventure,Drama,Fantasy"
179,Sniper: Assassin's End,tt12305696,Sniper: Assassin's End,No,,19500000,1:35,12300000,Sniper: Assassin's End,1000.0,video,Sniper: Assassin's End,Sniper: Assassin's End,2020,95,"Action,Thriller"
184,The Mother,tt6968614,The Mother,Yes,2023-05-12,23700000,1:57,12200000,The Mother,2023.0,movie,The Mother,The Mother,2023,115,"Action,Thriller"
182,Now You See Me,tt1670345,Now You See Me,No,,23300000,1:55,12200000,Now You See Me,1000.0,movie,Now You See Me,Now You See Me,2013,115,"Crime,Mystery,Thriller"
181,Mowgli: Legend of the Jungle,tt2388771,Mowgli: Legend of the Jungle,No,2018-12-07,21400000,1:45,12200000,Mowgli: Legend of the Jungle,2018.0,movie,Mowgli: Legend of the Jungle,Mowgli,2018,104,"Adventure,Drama,Fantasy"
183,Our Little Secret,tt31022050,Our Little Secret,Yes,2024-11-27,20500000,1:41,12200000,Our Little Secret,2024.0,movie,Our Little Secret,Our Little Secret,2024,101,"Comedy,Romance"
185,IF,tt11152168,IF (2024),No,,21000000,1:44,12100000,IF,2024.0,movie,IF,If,2024,104,"Animation,Comedy,Drama"
188,The Diplomat,tt26229612,The Diplomat // _________,No,,26700000,2:13,12000000,The Diplomat,1000.0,movie,The Diplomat,The Diplomat,2025,130,"Drama,Thriller"
189,The Intern,tt2361509,The Intern (2015),No,,24500000,2:02,12000000,The Intern,2015.0,movie,The Intern,The Intern,2015,121,"Comedy,Drama"
187,Kung Fu Panda,tt0441773,Kung Fu Panda,No,,18800000,1:34,12000000,Kung Fu Panda,1000.0,movie,Kung Fu Panda,Kung Fu Panda,2008,92,"Action,Adventure,Animation"
6,Dr. Seuss' The Lorax,tt1482459,Dr. Seuss' The Lorax,No,,17200000,1:26,12000000,Dr. Seuss' The Lorax,1000.0,movie,The Lorax,The Lorax,2012.0,86.0,"Adventure,Animation,Comedy"
190,Furiosa: A Mad Max Saga,tt12037194,Furiosa: A Mad Max Saga,No,,29400000,2:28,11900000,Furiosa: A Mad Max Saga,1000.0,movie,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,2024,148,"Action,Adventure,Sci-Fi"
7,Penguins of Madagascar: The Movie,tt1911658,Penguins of Madagascar: The Movie,No,,18200000,1:32,11900000,Penguins of Madagascar: The Movie,1000.0,movie,Penguins of Madagascar,Penguins of Madagascar,2014.0,92.0,"Action,Adventure,Animation"
192,Our Times,tt35630700,Our Times // Nuestros tiempos,Yes,2025-06-11,18000000,1:31,11900000,Our Times,2025.0,movie,Our Times,Nuestros Tiempos,2025,90,"Drama,Sci-Fi"
194,Under the Boardwalk,tt10551654,Under the Boardwalk (2022),No,,17200000,1:27,11900000,Under the Boardwalk,2022.0,movie,Under the Boardwalk,Under the Boardwalk,2023,83,"Adventure,Animation,Comedy"
191,Madagascar,tt0351283,Madagascar (2005),No,,17100000,1:26,11900000,Madagascar,2005.0,movie,Madagascar,Madagascar,2005,86,"Adventure,Animation,Comedy"
197,The Passion of the Christ,tt0335345,The Passion of the Christ,No,,23500000,2:01,11700000,The Passion of the Christ,1000.0,movie,The Passion of the Christ,The Passion of the Christ,2004,127,Drama
196,Promised Hearts,tt31107212,Promised Hearts // Setetes Embun Cinta Niyala,Yes,2025-03-31,22300000,1:54,11700000,Promised Hearts,2025.0,movie,Promised Hearts,Setetes Embun Cinta Niyala,2025,109,"Drama,Romance"
195,Incoming,tt21284218,Incoming,Yes,2024-08-23,17800000,1:31,11700000,Incoming,2024.0,movie,Incoming,Incoming,2024,91,Comedy
201,The Menu,tt9764362,The Menu (2022),No,,20600000,1:47,11600000,The Menu,2022.0,movie,The Menu,The Menu,2022,107,"Comedy,Horror,Thriller"
200,M3GAN,tt8760708,M3GAN,No,,19700000,1:42,11600000,M3GAN,1000.0,movie,M3GAN,M3GAN,2022,102,"Horror,Sci-Fi,Thriller"
199,Family Pack,tt29195603,Family Pack // Loups-Garous,Yes,2024-10-23,18400000,1:35,11600000,Family Pack,2024.0,movie,Family Pack,Loups-Garous,2024,94,"Adventure,Comedy,Fantasy"
198,Disaster Holiday,tt34608980,Disaster Holiday,Yes,2024-12-13,18000000,1:33,11600000,Disaster Holiday,2024.0,movie,Disaster Holiday,Disaster Holiday,2024,93,"Comedy,Family"
202,Atlas,tt14856980,Atlas,Yes,2024-05-24,22900000,2:00,11500000,Atlas,2024.0,movie,Atlas,Atlas,2024,118,"Action,Adventure,Drama"
203,Pixels,tt2120120,Pixels (2015),No,,20300000,1:46,11500000,Pixels,2015.0,movie,Pixels,Pixels,2015,105,"Action,Adventure,Comedy"
204,Barbie,tt1517268,Barbie (2023),No,,21600000,1:54,11400000,Barbie,2023.0,movie,Barbie,Barbie,2023,114,"Adventure,Comedy,Fantasy"
205,Fifty Shades Freed,tt4477536,Fifty Shades Freed,No,,20000000,1:45,11400000,Fifty Shades Freed,1000.0,movie,Fifty Shades Freed,Fifty Shades Freed,2018,105,"Drama,Mystery,Romance"
207,That Christmas,tt14855468,That Christmas,Yes,2024-12-04,18200000,1:36,11400000,That Christmas,2024.0,movie,That Christmas,That Christmas,2024,91,"Adventure,Animation,Comedy"
206,Liar Liar,tt0119528,Liar Liar (1997),No,,16600000,1:27,11400000,Liar Liar,1997.0,movie,Liar Liar,Liar Liar,1997,86,"Comedy,Fantasy"
208,Pride & Prejudice,tt0414387,Pride & Prejudice,No,,24000000,2:07,11300000,Pride & Prejudice,1000.0,movie,Pride & Prejudice,Pride & Prejudice,2005,129,"Drama,Romance"
209,It Takes Two,tt0113442,It Takes Two (1995),No,,18800000,1:41,11200000,It Takes Two,1995.0,movie,It Takes Two,It Takes Two,1995,101,"Comedy,Family,Romance"
210,Masha and the Bear: The Legend of the 12 Months,tt23838860,Masha and the Bear: The Legend of the 12 Months,No,,4300000,0:23,11200000,Masha and the Bear: The Legend of the 12 Months,1000.0,short,Masha and the Bear: The Legend of the 12 Months,Masha i Medved v kino: 12 mesyatsev,2022,22,"Animation,Short"
211,Anyone But You,tt26047818,Anyone But You,No,,19200000,1:44,11100000,Anyone But You,1000.0,movie,Anyone But You,Anyone But You,2023,103,"Comedy,Romance"
212,Murder Mystery,tt1618434,Murder Mystery,Yes,2019-06-14,18200000,1:38,11100000,Murder Mystery,2019.0,movie,Murder Mystery,Murder Mystery,2019,97,"Crime,Mystery,Romance"
213,Trouble,tt30217143,Trouble // Strul,Yes,2024-10-03,18100000,1:38,11100000,Trouble,2024.0,movie,Trouble,Strul,2024,98,"Action,Comedy,Crime"
214,YES DAY,tt8521876,YES DAY,Yes,2021-03-12,16600000,1:30,11100000,YES DAY,2021.0,movie,Yes Day,Yes Day,2021,86,"Comedy,Family"
216,Horizon: An American Saga: Chapter 1,tt17505010,Horizon: An American Saga: Chapter 1,No,,33200000,3:01,11000000,Horizon: An American Saga: Chapter 1,1000.0,movie,Horizon: An American Saga - Chapter 1,Horizon: An American Saga - Chapter 1,2024,181,"Drama,Western"
215,Blacklight,tt14060094,Blacklight (2022),No,,19200000,1:45,11000000,Blacklight,2022.0,movie,Blacklight,Blacklight,2022,104,"Action,Drama,Thriller"
220,To All the Boys: P.S. I Still Love You,tt9354842,To All the Boys: P.S. I Still Love You,Yes,2020-02-12,18500000,1:42,10900000,To All the Boys: P.S. I Still Love You,2020.0,movie,To All the Boys: P.S. I Still Love You,To All the Boys: P.S. I Still Love You,2020,101,"Comedy,Drama,Romance"
221,Uglies,tt13186604,Uglies,Yes,2024-09-13,18500000,1:42,10900000,Uglies,2024.0,movie,Uglies,Uglies,2024,100,"Action,Adventure,Drama"
217,Avicii - I'm Tim,tt32138523,Avicii - I'm Tim,Yes,2024-12-31,17700000,1:37,10900000,Avicii - I'm Tim,2024.0,movie,Avicii - I'm Tim,Avicii - I'm Tim,2024,95,"Biography,Documentary,Music"
219,Kung Fu Panda 4,tt21692408,Kung Fu Panda 4,No,,17100000,1:34,10900000,Kung Fu Panda 4,1000.0,movie,Kung Fu Panda 4,Kung Fu Panda 4,2024,94,"Action,Adventure,Animation"
218,Barnyard,tt0414853,Barnyard,No,,16400000,1:30,10900000,Barnyard,1000.0,movie,Barnyard,Barnyard,2006,90,"Adventure,Animation,Comedy"
222,The Sand Castle,tt22804850,The Sand Castle // __ ____ _____,Yes,2025-01-24,17400000,1:37,10800000,The Sand Castle,2025.0,movie,The Sand Castle,The Sand Castle,2024,98,"Drama,Fantasy,Mystery"
8,Untold: The Fall of Favre,tt36557720,Untold: The Fall of Favre,Yes,2025-05-20,11500000,1:04,10800000,Untold: The Fall of Favre,2025.0,tvEpisode,The Fall of Favre,The Fall of Favre,2025.0,62.0,"Biography,Crime,Documentary"
224,The Twilight Saga: Eclipse,tt1325004,The Twilight Saga: Eclipse,No,,22200000,2:04,10700000,The Twilight Saga: Eclipse,1000.0,movie,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124,"Action,Adventure,Drama"
225,Time Cut,tt14857528,Time Cut,Yes,2024-10-30,16400000,1:32,10700000,Time Cut,2024.0,movie,Time Cut,Time Cut,2024,91,"Horror,Mystery,Sci-Fi"
228,Dune: Part Two,tt15239678,Dune: Part Two,No,,29200000,2:46,10600000,Dune: Part Two,1000.0,movie,Dune: Part Two,Dune: Part Two,2024,166,"Action,Adventure,Drama"
226,A Simple Favor,tt7040874,A Simple Favor,No,,20600000,1:57,10600000,A Simple Favor,1000.0,movie,A Simple Favor,A Simple Favor,2018,117,"Comedy,Crime,Mystery"
229,Feel the Beat,tt10714856,Feel the Beat,Yes,2020-06-19,19400000,1:50,10600000,Feel the Beat,2020.0,movie,Feel the Beat,Feel the Beat,2020,109,"Comedy,Drama,Family"
227,Bloodshot,tt1634106,Bloodshot (2020),No,,19300000,1:49,10600000,Bloodshot,2020.0,movie,Bloodshot,Bloodshot,2020,109,"Action,Adventure,Sci-Fi"
230,"Ruby Gillman, Teenage Kraken",tt27155038,"Ruby Gillman, Teenage Kraken",No,,16100000,1:31,10600000,"Ruby Gillman, Teenage Kraken",1000.0,movie,Ruby Gillman: Teenage Kraken,"Ruby Gillman, Teenage Kraken",2023,91,"Animation,Comedy,Romance"
231,Chicken Run: Dawn of the Nugget,tt8337264,Chicken Run: Dawn of the Nugget,Yes,2023-12-15,17800000,1:42,10500000,Chicken Run: Dawn of the Nugget,2023.0,movie,Chicken Run: Dawn of the Nugget,Chicken Run: Dawn of the Nugget,2023,98,"Adventure,Animation,Comedy"
232,Jaat,tt32223398,Jaat // ___,Yes,,25900000,2:30,10400000,Jaat,1000.0,movie,Jaat,Jaat,2025,158,"Action,Crime,Drama"
233,Midnight in the Switchgrass,tt11656220,Midnight in the Switchgrass,No,,17100000,1:39,10400000,Midnight in the Switchgrass,1000.0,movie,Midnight in the Switchgrass,Midnight in the Switchgrass,2021,99,"Crime,Mystery,Thriller"
238,HIT: The Third Case,tt23804696,HIT: The Third Case,No,,26500000,2:35,10300000,HIT: The Third Case,1000.0,movie,HIT: The 3rd Case,HIT: The 3rd Case,2025,154,"Action,Crime,Thriller"
241,The Two Popes,tt8404614,The Two Popes,Yes,2019-12-20,21600000,2:06,10300000,The Two Popes,2019.0,movie,The Two Popes,The Two Popes,2019,125,"Biography,Comedy,Drama"
234,Angel Has Fallen,tt6189022,Angel Has Fallen,No,,20800000,2:01,10300000,Angel Has Fallen,1000.0,movie,Angel Has Fallen,Angel Has Fallen,2019,121,"Action,Thriller"
237,Fifty Shades Darker,tt4465564,Fifty Shades Darker,No,,20300000,1:58,10300000,Fifty Shades Darker,1000.0,movie,Fifty Shades Darker,Fifty Shades Darker,2017,118,"Drama,Mystery,Romance"
